TIMESTAMP;HOST;TYPE;DETAILS
2026-09-07T21:10;HOST01;PROCESS;cmd.exe /c whoami
2026-09-07T21:11;HOST01;PROCESS;powershell.exe -nop -w hidden
2026-09-07T21:12;HOST01;NETWORK;10.0.0.8:22 FAILED
2026-09-07T21:12;HOST01;NETWORK;10.0.0.8:22 FAILED
2026-09-07T21:12;HOST01;NETWORK;10.0.0.8:22 FAILED
2026-09-07T21:13;HOST01;NETWORK;10.0.0.8:21 FAILED
2026-09-07T21:13;HOST01;NETWORK;10.0.0.8:80 FAILED
2026-09-07T21:14;HOST01;AUTH;LOGIN FAILED user=admin
2026-09-07T21:14;HOST01;AUTH;LOGIN FAILED user=admin
2026-09-07T21:14;HOST01;AUTH;LOGIN FAILED user=admin
